,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
0,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,62134ec39e1cf703a57a9587,62134eff9e1cf703a57a9598,62134f789e1cf703a57a95bc
1,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,RDT,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620b8db6d3ea681f35ebe53f,620b8e30d3ea681f35ebe555,620b8ea3d3ea681f35ebe56c
2,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,SWAP,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620fa4039e1cf703a57a1173,620fa43f9e1cf703a57a117c,620fa4b99e1cf703a57a118e
3,0x3e972c4859a1fc8a25b13b4bbc38e57eb8621645,INV,Fantom,Ethereum,Fantom,Ethereum,6210cc889e1cf703a57a3992,6210cd019e1cf703a57a39a3,6210cd3e9e1cf703a57a39aa
4,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,ETH,Avalanche,Fantom,Polygon,Fantom,620a2d72854f936fad88c6ae,620a2cdd854f936fad88c6a1,620a2dc2854f936fad88c6b6
5,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,MLT,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a8078854f936fad88df19,620a80dc854f936fad88df4a,620a817d854f936fad88df9a
6,0x67ebc532d648e6164a6fd726ff0b39e69180dafe,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620ab771854f936fad890ecd,620ab7f5854f936fad890f7e,620ab8ad854f936fad891079
7,0x30cb2c51fc4f031fa5f326d334e1f5da00e19ab5,ALPACA,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e899962d48eee70ee340b,620e8a2762d48eee70ee3443,620e8b0362d48eee70ee34b2
8,0x47a3ed852e37477cf1ba297f8288e06230b2d543,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620e7cc862d48eee70ee2e1c,620e7dcf62d48eee70ee2e8b,620e7e7362d48eee70ee2ed6
9,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb
10,0x0000023cbc437683aec074e3cb75ad38ae2e87e1,USDT,Ethereum,Polygon,BNB CHAIN,Polygon,620a155d854f936fad88c071,620a1604854f936fad88c07d,620a17da854f936fad88c12b
11,0x0000023cbc437683aec074e3cb75ad38ae2e87e1,USDT,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620a1604854f936fad88c07d,620a17da854f936fad88c12b,620a18b1854f936fad88c1b8
12,0xa76cbd9b7d0e994266e8ca9f68df62f4e48c033c,FXS,Fantom,Ethereum,Fantom,BNB CHAIN,620a1127854f936fad88bfee,620a11de854f936fad88c000,620a1308854f936fad88c019
13,0x16d77425a9eaeb92cd2ad10e04e54ef93c17a8cf,USDC,Fantom,Ethereum,Fantom,Avalanche,620d0cb3d3ea681f35ec2245,620d0e1fd3ea681f35ec2286,620d0e6fd3ea681f35ec2297
14,0x48de880869eae3ff014260a5c2fadeb11018b495,SPELL,Ethereum,Avalanche,BNB CHAIN,Fantom,620dd5313c8253c5fb8bd4ff,620dd6363c8253c5fb8bd556,620dd7313c8253c5fb8bd5ab
15,0xb0cc628e34664bc308961f16414ff94ba3f6f154,FTM,BNB CHAIN,Ethereum,BNB CHAIN,Fantom,6212766a11d45e0a496897ff,6212776b11d45e0a4968982a,621277fe11d45e0a49689852
16,0x4e2be742c076f7e0a86192a25151c2bbeba0386f,DAI,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,62125dc911d45e0a49689288,62125e8b11d45e0a496892a5,62125f4711d45e0a496892ee
17,0x51f0cf037d370867e2d7899a377eaa9588888888,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620feae311d45e0a496727dc,620fec2111d45e0a496728d8,620fecba11d45e0a4967295b
