,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,TxID_1,TxID_2,TxID_3
0,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,620fbf2711d45e0a49670b6d,620fccbf11d45e0a49671096,621029e411d45e0a4967403d
1,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,BIFI,BNB CHAIN,Fantom,BNB CHAIN,Polygon,621230c211d45e0a4968745d,6212528c9e1cf703a57a72d8,6212569e11d45e0a49688f03
2,0xcdb549d3c5cbe0ffbb838e67529bf6cbffa75fe1,ALPACA,BNB CHAIN,Fantom,BNB CHAIN,Fantom,620f712811d45e0a4966f298,620f801311d45e0a4966f70a,620f866a11d45e0a4966f875
3,0x2b42affd4b7c14d9b7c2579229495c052672ccd3,USDC,Fantom,BNB CHAIN,Fantom,Polygon,62093482d3ea681f35eb8cdf,62093c07d3ea681f35eb8e2b,6209487bd3ea681f35eb9073
4,0x77047677b341ff3724af069026ed1d149d2ddedc,USDT,Fantom,Avalanche,Fantom,Avalanche,620ea565dcf15fd1a428152e,620f5d4a9e1cf703a57a079d,620fab8b9e1cf703a57a1265
5,0x8537307810fc40f4073a12a38554d4ff78efff41,USDC,Polygon,Avalanche,Polygon,BNB CHAIN,6211cdea9e1cf703a57a5e28,6211d6299e1cf703a57a5f2b,6211d8109e1cf703a57a5f61
6,0x8537307810fc40f4073a12a38554d4ff78efff41,USDT,Polygon,Avalanche,Polygon,Fantom,620bb388d3ea681f35ebebcf,620bf8e2d3ea681f35ebf934,620c0888d3ea681f35ebfbd7
7,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,Fantom,62113bdd9e1cf703a57a4bc9,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56
8,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,BNB CHAIN,Fantom,Avalanche,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b
9,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,BNB CHAIN,Fantom,Avalanche,Fantom,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a
10,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Fantom,Avalanche,Fantom,BNB CHAIN,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
11,0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a,FXS,BNB CHAIN,Polygon,BNB CHAIN,Polygon,62115f3311d45e0a4967e63c,6211849a11d45e0a49681a19,6211d3d711d45e0a49685dd3
12,0x34327028c727613872cd80122b9a489a4b9c0bfa,DERC,BNB CHAIN,Polygon,BNB CHAIN,Polygon,620bac6a854f936fad89745e,620c335e854f936fad89a20a,620d01393c8253c5fb8b88c3
13,0x34327028c727613872cd80122b9a489a4b9c0bfa,DERC,Polygon,BNB CHAIN,Polygon,BNB CHAIN,620c335e854f936fad89a20a,620d01393c8253c5fb8b88c3,620d65b73c8253c5fb8bb40d
