,Addresses,Token,Blockchain_1,Blockchain_2,Blockchain_3,Blockchain_4,Blockchain_5,Blockchain_6,Blockchain_7,TxID_1,TxID_2,TxID_3,TxID_4,TxID_5,TxID_6
0,0x9db3f57cc9069dd4307b6a73a752f08fb82f988c,USDC,Avalanche,Fantom,BNB CHAIN,Fantom,Avalanche,Fantom,BNB CHAIN,62113bdd9e1cf703a57a4bc9,62116a189e1cf703a57a5287,6211d7959e1cf703a57a5f56,6211d7d39e1cf703a57a5f5b,6211ea4a9e1cf703a57a624a,6211eb039e1cf703a57a625d
1,0xac569e0f62c7cbbb987518692aae056a0ae1dd18,DAI,Polygon,Fantom,Polygon,Fantom,Polygon,Fantom,Polygon,620adf18d3ea681f35ebcc07,620af5a9d3ea681f35ebcf1a,620b0c5cd3ea681f35ebd232,620b307cd3ea681f35ebd730,620bce6fd3ea681f35ebf0f8,620c9745d3ea681f35ec1195
2,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,62095e7d2219a24b7e94c02e,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb,620b31d4d3ea681f35ebd74a,620b31ed854f936fad894e32
3,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,FABRIC,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,Ethereum,BNB CHAIN,620a10aa854f936fad88bfe2,620a10fd854f936fad88bfea,620a1172854f936fad88bffb,620b31d4d3ea681f35ebd74a,620b31ed854f936fad894e32,620c72f6854f936fad89c5b9
4,0xb9b9161c6440353d30e06f6a3f93cd43bd1e3907,USDT,Fantom,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620e100adcf15fd1a427fdde,620e3195dcf15fd1a4280225,620ef90bdcf15fd1a4282178,620f716d9e1cf703a57a0a1e,620f71ea9e1cf703a57a0a33,620fac869e1cf703a57a1294
5,0xb88e3cad12aba4ec40ad3aebe139bf3919344099,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620f53a011d45e0a4966e0ab,620f80a711d45e0a4966f71d,620fb4e811d45e0a49670691,620fb8fc11d45e0a4967093e,6210ed8511d45e0a49678bcd,62111ee611d45e0a4967994e
6,0xb88e3cad12aba4ec40ad3aebe139bf3919344099,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620f80a711d45e0a4966f71d,620fb4e811d45e0a49670691,620fb8fc11d45e0a4967093e,6210ed8511d45e0a49678bcd,62111ee611d45e0a4967994e,62118c2611d45e0a49682513
7,0xeaff63f297b2947eb3a422c273b87b4f8f96bf57,MIM,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620bdf93854f936fad898ebb,620bea85854f936fad899196,620bf14d854f936fad8992f9,620c7c50854f936fad89c7f1,620c959426b3d8ba9857cedc,620d24883c8253c5fb8b9375
8,0x65063be17dcb2442f5c5c46595969bd605073926,USDC,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,BNB CHAIN,Fantom,6209956e2219a24b7e94c8fe,6209a6822219a24b7e94cda3,620ae02c854f936fad893d20,620ae6ca854f936fad89422c,620c2ac8854f936fad899f7f,620c2e79854f936fad89a05b
9,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,620f919811d45e0a4966fbe9,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3
10,0xca229c7f46d5b3c44e0c8d28f1d21f74ad4af333,USDT,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,BNB CHAIN,Avalanche,620fa01911d45e0a4966ff11,6210185711d45e0a496738ad,62101aa211d45e0a49673973,62109d4411d45e0a49676d0b,6210a25611d45e0a49676de3,621107cd11d45e0a49679241
11,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Avalanche,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,620a45cf854f936fad88cab4,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9
12,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Fantom,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,620a53fc854f936fad88cd15,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d
13,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,Polygon,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,620ad261854f936fad892f1d,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b
14,0x34fba918ede406876e452df0ce75ffb9b6b3aca3,DAI,BNB CHAIN,Polygon,BNB CHAIN,Avalanche,Fantom,BNB CHAIN,Fantom,620ae0b7854f936fad893dc5,620b6d58854f936fad896351,620bba91854f936fad8979f9,620beeb5854f936fad89926d,620c074f854f936fad89973b,620c323b854f936fad89a185
